,Close,Date,High,Low,Open
736516.0,9.63e-05,736516.0,9.738e-05,9.538e-05,9.634e-05
736517.0,9.269e-05,736517.0,9.695e-05,9.134e-05,9.63e-05
736518.0,9.03e-05,736518.0,9.257e-05,8.5e-05,9.257e-05
736519.0,9.04e-05,736519.0,9.516e-05,8.857e-05,9.021e-05
736520.0,7.973e-05,736520.0,9.04e-05,7.522e-05,9.04e-05
736521.0,7.638e-05,736521.0,8.375e-05,6.544e-05,8.04e-05
736522.0,8.233e-05,736522.0,8.3e-05,7.378e-05,7.638e-05
736523.0,8.146e-05,736523.0,9.15e-05,7.805e-05,8.249e-05
736524.0,8.28e-05,736524.0,8.289e-05,7.79e-05,8.146e-05
736525.0,8.71e-05,736525.0,8.8e-05,8.179e-05,8.281e-05
736526.0,7.696e-05,736526.0,8.73e-05,6.895e-05,8.71e-05
736527.0,7.739e-05,736527.0,8.062e-05,7.301e-05,7.697e-05
736528.0,7.7e-05,736528.0,7.92e-05,7.432e-05,7.739e-05
736529.0,7.216e-05,736529.0,7.857e-05,6.974e-05,7.7e-05
736530.0,6.69e-05,736530.0,7.51e-05,6.55e-05,7.216e-05
736531.0,6.907e-05,736531.0,7.089e-05,6.611e-05,6.701e-05
736532.0,6.945e-05,736532.0,7.11e-05,6.508e-05,6.889e-05
736533.0,7.15e-05,736533.0,7.427e-05,6.866e-05,6.945e-05
736534.0,6.968e-05,736534.0,7.195e-05,6.875e-05,7.15e-05
736535.0,6.832e-05,736535.0,7.026e-05,6.555e-05,6.968e-05
736536.0,6.84e-05,736536.0,6.944e-05,6.65e-05,6.825e-05
736537.0,6.494e-05,736537.0,6.879e-05,6.431e-05,6.864e-05
736538.0,5.847e-05,736538.0,6.498e-05,5.6e-05,6.466e-05
736539.0,6.253e-05,736539.0,6.299e-05,5.611e-05,5.803e-05
736540.0,5.854e-05,736540.0,6.293e-05,5.853e-05,6.252e-05
736541.0,5.7e-05,736541.0,5.975e-05,5.63e-05,5.865e-05
736542.0,6.465e-05,736542.0,6.779e-05,5.4e-05,5.728e-05
736543.0,6.333e-05,736543.0,6.596e-05,6.221e-05,6.499e-05
736544.0,6.245e-05,736544.0,6.417e-05,6.23e-05,6.333e-05
736545.0,6.032e-05,736545.0,6.36e-05,5.975e-05,6.245e-05
736546.0,5.672e-05,736546.0,6.098e-05,5.5e-05,6.035e-05
736547.0,5.58e-05,736547.0,5.888e-05,5.424e-05,5.637e-05
736548.0,5.261e-05,736548.0,5.65e-05,5.2e-05,5.59e-05
736549.0,5.693e-05,736549.0,5.9e-05,5.114e-05,5.261e-05
736550.0,5.5e-05,736550.0,5.725e-05,5.427e-05,5.693e-05
736551.0,5.259e-05,736551.0,5.529e-05,5.191e-05,5.499e-05
736552.0,4.862e-05,736552.0,5.372e-05,4.816e-05,5.289e-05
736553.0,4.454e-05,736553.0,5.02e-05,4.373e-05,4.886e-05
736554.0,4.064e-05,736554.0,4.45e-05,3.848e-05,4.45e-05
736555.0,3.888e-05,736555.0,4.548e-05,3.848e-05,4.08e-05
736556.0,3.8e-05,736556.0,4.1e-05,3.649e-05,3.888e-05
736557.0,3.65e-05,736557.0,3.822e-05,3.582e-05,3.8e-05
736558.0,3.679e-05,736558.0,3.728e-05,3.514e-05,3.65e-05
736559.0,3.84e-05,736559.0,4.072e-05,3.546e-05,3.672e-05
736560.0,3.667e-05,736560.0,3.923e-05,3.629e-05,3.84e-05
736561.0,3.891e-05,736561.0,3.945e-05,3.628e-05,3.667e-05
736562.0,5e-05,736562.0,5.925e-05,3.792e-05,3.891e-05
736563.0,5.961e-05,736563.0,6.425e-05,4.488e-05,5e-05
736564.0,5.93e-05,736564.0,7.349e-05,5.267e-05,5.944e-05
736565.0,5.005e-05,736565.0,6.899e-05,4.839e-05,5.93e-05
736566.0,4.979e-05,736566.0,5.325e-05,4.53e-05,5.014e-05
736567.0,4.835e-05,736567.0,5.375e-05,4.811e-05,4.979e-05
736568.0,4.646e-05,736568.0,4.838e-05,4.444e-05,4.835e-05
736569.0,5.142e-05,736569.0,5.56e-05,4.5e-05,4.647e-05
736570.0,4.8e-05,736570.0,5.17e-05,4.651e-05,5.145e-05
736571.0,5.083e-05,736571.0,5.116e-05,4.71e-05,4.799e-05
736572.0,5.509e-05,736572.0,5.629e-05,4.908e-05,5.065e-05
